andromeda
asteroid
astronaut
astronomer
astronomy
borealis
celestial
comet
copernicus
cosmos
eclipse
equinox
galactic
galaxy
galileo
gemini
gravitation
gravity
halley
herschel
huygens
interplanetary
interstellar
jupiter
kepler
lightyear
lunar
meteor
meteorite
meteoroid
micrometeorites
microwave
moon
nebula
neptune
observatory
orbit
planet
planetesimal
pleiades
radiation
rocket
satellite
saturn
solar
spaceflight
spaceship
spectroscope
spectrum
stellar
sunspot
supergiant
supernova
telescope
ultraviolet
uranus
venus
